Tên sản phẩm,Loại sản phẩm,Mã SKU,Đơn vị,LC_CN1_Tồn kho ban đầu,LC_CN1_Giá vốn khởi tạo,PL_Giá bán lẻ,PL_Giá nhập
Xì gà Lotus Short ( hộp giấy 10 điếu),"Xì Gà, Thuốc Lá",8936031841195,Hộp,11,0,450.000,0
Bát gáo dừa hoa sen đỏ,Hàng Sơn Mài,SM/BGD/SEN/D,Cái,11,0,50.000,0
Cốc lọc trà nắp màu,Hàng Gốm Sứ,CLTM02/5M,Cái,11,0,100.000,0
Đèn lồng tròn 35cm,Đèn lồng,DL/TRON/35,Cái,11,0,150.000,0
Hạt điều gói 500g,"Đồ Ăn, Thức Uống",H/DIEU/G/500G,Gói,11,0,125.000,0
Khay tre hcn 22x35x3,"Khay tre, khảm trai, gỗ",KTHCN/22X35X3,Cái,11,0,140.000,0
Túi cói đeo vai KT: 21x31,"Túi xách, Làn, Ví",TCDV/21X31,Cái,11,0,200.000,0
Mít sấy vinamit MP gói 100g,"Đồ Ăn, Thức Uống",8934743042909,Gói,11,0,50.000,0
Xì gà HANOS - HNC56 ( ống nhôm 1 điếu),"Xì Gà, Thuốc Lá",XIGA/HNC56,Điếu,11,0,900.000,0
Bát tre gắn trai,Hàng Sơn Mài,SM/BATTRE,Cái,11,0,70.000,0
Tranh sơn mài vuông 20x20,Hàng Sơn Mài,SM/TR/V20,Cái,11,0,250.000,0
Ví thổ cẩm hình cú khóa chuông KT 22x13,"Túi xách, Làn, Ví",TC/VHCKC/22X13,Cái,10,0,100.000,0
Rượu mận máu Hoàng Su Phì 100ml,Rượu,8938528985917,Chai,10,0,150.000,0
Túi mây hình chữ nhật thảm trai,"Túi xách, Làn, Ví",TMHCNTT,Cái,10,0,240.000,0
Thước len mix các loại,Len,LEN/TMCL,Cái,10,0,60.000,0
Tranh đĩa tròn sơn mài cong phi 20,Hàng Sơn Mài,SM/TR/DTC20,Cái,10,0,250.000,0
Bát cơm men kem CL,Hàng Gốm Sứ,T/BC/MK,Cái,10,0,40.000,0
Khay vuông gắn trai có tay cầm KT:30cm,"Khay tre, khảm trai, gỗ",KVGTCTC/30,Cái,10,0,220.000,0
Thuốc lá bao Lotus Slim- NĐ,"Xì Gà, Thuốc Lá",8936031838799,Bao,10,0,20.000,0
Bộ trà nhỏ 4C,Hàng Gốm Sứ,TACTN04,Bộ,10,0,200.000,0
Chén Sake HB sen,Hàng Gốm Sứ,SAKE/C/HB/SEN,Cái,10,0,30.000,0
Làn nhựa cỡ M KT: 25-39cm,"Túi xách, Làn, Ví",LN/M/25-39,Cái,10,0,250.000,0
Bát gáo dừa hoa sen vàng,Hàng Sơn Mài,SM/BGD/SEN/V,Cái,10,0,50.000,0
Hộp Phấn sơn mài phi 8,Hàng Sơn Mài,SM/PHAN/8,Hộp,10,0,80.000,0
Đèn lồng tròn 10cm,Đèn lồng,DL/TRON/10,Cái,10,0,50.000,0
Trà Matcha tam đường 100g,"Đồ Ăn, Thức Uống",8936095570307,Gói,10,0,150.000,0
Túi xách thổ cẩm quai gỗ KT: 34x30,"Túi xách, Làn, Ví",TC/TXQG/34X30,Cái,10,0,100.000,0
Mít sấy vinamit MP gói 210g,"Đồ Ăn, Thức Uống",8934743012131,Gói,10,0,110.000,0
Trà xanh túi lọc Cộng (2gr x20),"Đồ Ăn, Thức Uống",CPC/TX/L,Hộp,10,0,80.000,0
Trà hoa Lài túi lọc Star Kitchen,"Đồ Ăn, Thức Uống",8938532872555,Hộp,10,0,110.000,0
MR.VIET Cà Phê Hòa Tan 2 trong 1 (MR.VIET 2 in 1 Instant Coffee),"Đồ Ăn, Thức Uống",8936135430219,Gói,10,0,120.000,0
Bình phu thê SM cỡ trung,Hàng Sơn Mài,SM/VC/M,Bộ,10,0,500.000,0
Kẹo chew nho đen Hải Hà 90G,"Đồ Ăn, Thức Uống",8934595060472,Gói,9,0,10.000,0
Móc khóa len mix đội nón,Len,LEN/MKMDN,Cái,9,0,50.000,0
Đĩa mặt trời S2 vẽ hoa CL,Hàng Gốm Sứ,ADMT01,Cái,9,0,150.000,0
Ví lụa thêu hoa 12x19,"Túi xách, Làn, Ví",CLY/VI1219,Cái,9,0,50.000,0
Kẹo Hải Hà nhân Dứa gói 80g,"Đồ Ăn, Thức Uống",8936007390580,Gói,9,0,10.000,0
Gác thìa HB sen,Hàng Gốm Sứ,HB/GTH/SEN,Cái,9,0,35.000,0
Xì gà Lotus MINI NO 2 (hộp sắt màu nâu),"Xì Gà, Thuốc Lá",8936031835910,Hộp,9,0,250.000,0
Cốc bộ độc ẩm vẽ cl,Hàng Gốm Sứ,T/C/1M/CL,Cái,9,0,100.000,0
Lót ly gắn trai,Hàng Sơn Mài,SM/LOTLY01,Bộ,9,0,170.000,0
Ví thổ cẩm cầm tay nắp lượn,"Túi xách, Làn, Ví",TC/VI/NL12X20,Cái,9,0,50.000,0
Cốc C phong cảnh HN,Hàng Gốm Sứ,COCC03,Cái,9,0,80.000,0
Bánh đậu xanh Hòa An hộp 100g,"Đồ Ăn, Thức Uống",8938539983049,Hộp,9,0,15.000,0
Hạt macca lọ 500g,"Đồ Ăn, Thức Uống",H/MACCA/500G,Hộp,9,0,130.000,0
Đĩa kê cốc CF đỏ,Hàng Gốm Sứ,DCF/D,Cái,9,0,20.000,0
Đĩa kê cốc cf nâu,Hàng Gốm Sứ,DCF/N,Cái,9,0,20.000,0
Khay tre hcn 25x38x3,"Khay tre, khảm trai, gỗ",KTHCN/25X38X3,Cái,9,0,150.000,0
Giá đũa,Đũa,TDTMV80,Bộ,9,0,100.000,0
Hít vỉ 3 tem vàng,Thủ công mỹ nghệ,HV3TV,Cái,9,0,60.000,0
Bát gáo dừa cô gái vàng,Hàng Sơn Mài,SM/BGD/GAI/V,Cái,9,0,50.000,0
Bát gáo dừa đồng quê xanh dương,Hàng Sơn Mài,SM/BGD/DQXD,Cái,9,0,50.000,0
Bát gáo dừa đồng quê vàng,Hàng Sơn Mài,SM/BGD/DQV,Cái,9,0,50.000,0
Nón Huế vẽ hoa sen phi 40,"Nón, Nón treo",NHVHS/40,Cái,9,0,100.000,0
Nón trẻ em vẽ phi 34,"Nón, Nón treo",NTEV/34,Cái,9,0,80.000,0
Khay tròn thảm gỗ có quai KT phi 22,"Khay tre, khảm trai, gỗ",KTTGCQ/22,Cái,9,0,120.000,0
Cam Sơn mài phi 11,Hàng Sơn Mài,SM/CAM11,Cái,9,0,110.000,0
TRÀ HOA NHÀI (LỌ),"Đồ Ăn, Thức Uống",TRA/HNHAI,Lọ,8,0,60.000,0
Chóe mini vẽ các loại,Hàng Gốm Sứ,ACH05,Cái,8,0,300.000,0
Rượu Kim Quất 100ml,Rượu,8938528985887,Chai,8,0,150.000,0
Rượu Mơ Yên Tử 250ml 19%,Rượu,8936105590158,Chai,8,0,200.000,0
Rượu mùa Hà Nội 100ml,Rượu,8938528985665,Chai,8,0,150.000,0
